source_taxon_name,interaction_type,target_taxon_name,latitude,longitude
Manuelia,visitsFlowersOf,Tristerix corymbosus,-41,-71.5
Manuelia,visitsFlowersOf,Schinus patagonicus,-41,-71.5
Manuelia,visitsFlowersOf,Gavilea odoratissima,-41,-71.5
Manuelia,visitsFlowersOf,Berberis,-41,-71.5
Manuelia,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Chalepogenus caeruleus,visitsFlowersOf,Grindelia chiloensis,-42.74852,-72.61002
Chalepogenus caeruleus,visitsFlowersOf,Calceolaria crenatiflora,-40,-67
Chalepogenus caeruleus,visitsFlowersOf,Calceolaria crenatiflora,-41,-71.5
Evylaeus,visitsFlowersOf,Mutisia decurrens,-40,-67
Evylaeus,visitsFlowersOf,Alstroemeria aurea,-40,-67
Evylaeus,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Evylaeus,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Ocyptamus melanorrhinus,visitsFlowersOf,Rosa eglanteria,-40,-67
Ocyptamus melanorrhinus,visitsFlowersOf,Mutisia decurrens,-40,-67
Ocyptamus melanorrhinus,visitsFlowersOf,Alstroemeria aurea,-40,-67
Ocyptamus melanorrhinus,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Ocyptamus melanorrhinus,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Ocyptamus melanorrhinus,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Sapromyza,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Sapromyza,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Sapromyza,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Heterosarus,visitsFlowersOf,Mutisia decurrens,-40,-67
Heterosarus,visitsFlowersOf,Alstroemeria aurea,-40,-67
Heterosarus,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Heterosarus,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Phthiria,visitsFlowersOf,Rosa eglanteria,-40,-67
Phthiria,visitsFlowersOf,Mutisia decurrens,-40,-67
Phthiria,visitsFlowersOf,Alstroemeria aurea,-40,-67
Phthiria,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Phthiria,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Phthiria,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Anthaxia,visitsFlowersOf,Mutisia decurrens,-40,-67
Anthaxia,visitsFlowersOf,Alstroemeria aurea,-40,-67
Anthaxia,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Anthaxia,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Manuelia,visitsFlowersOf,Mutisia decurrens,-40,-67
Manuelia,visitsFlowersOf,Berberis,-40,-67
Manuelia,visitsFlowersOf,Alstroemeria aurea,-40,-67
Manuelia,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Manuelia,visitsFlowersOf,Berberis,-41,-71.5
Manuelia,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Colletes seminitidus,visitsFlowersOf,Ribes magellanicum,-40,-67
Colletes seminitidus,visitsFlowersOf,Diplolepis diemii,-40,-67
